Parcels,Crops,N,Fractional_Time,Discrete_Time
100,3,300,0.012251899985130876,0.07626890001120046
100,5,500,0.011575100012123585,0.06839819997549057
100,10,1000,0.02099150000140071,0.06592109997291118
300,3,900,0.018371100013609976,0.2146245000185445
300,5,1500,0.0301074999733828,0.21632649999810383
300,10,3000,0.0602659999858588,0.25038459995994344
500,3,1500,0.03507559996796772,0.3786146999918856
500,5,2500,0.06766549998428673,0.4087001999723725
500,10,5000,0.0952143999747932,0.39761089999228716
1000,3,3000,0.056897200003731996,0.7509634000016376
1000,5,5000,0.09421840001596138,0.7396354000084102
1000,10,10000,0.20079319999786094,0.8290666000102647
2000,3,6000,0.11339890002273023,1.4149800000013784
2000,5,10000,0.19936639996012673,1.4402698000194505
2000,10,20000,0.3768671000143513,1.7453706999658607
